Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,intFlag,altiThreshold,thrustSetpoint,thrustPerRotor,expectedThrust.x,expectedThrust.y,expectedThrust.z,disturbanceEstimate.x,disturbanceEstimate.y,disturbanceEstimate.z,inertialForce.x,inertialForce.y,inertialForce.z
1719186042.6563914,15469,1719186042,653390534,,True,True,18.645170211791992,4.661292552947998,-0.5277793534923947,-0.4846093337559367,18.530112869026595,-10.029036082196672,1.260682383878381,-3.4735252179757605,0.0,0.0,0.0
1719186042.6764946,15470,1719186042,673611367,,True,True,18.63605499267578,4.659013748168945,-0.5672615297669786,-0.4460638303061165,18.63119914174489,-9.991177683024057,1.3009318875862184,-3.4657466070231266,0.0,0.0,0.0
1719186042.6964993,15471,1719186042,693361992,,True,True,18.615310668945312,4.653827667236328,-0.5996078321813298,-0.44766767623602455,18.62102604164447,-9.954743966271101,1.336429064293843,-3.457912413814287,0.0,0.0,0.0
1719186042.7162623,15472,1719186042,713341106,,True,True,18.398616790771484,4.599654197692871,-0.6252259033686803,-0.44594890640614243,18.599463361229706,-9.905331855800645,1.3609620009499277,-3.449490063608171,0.0,0.0,0.0
1719186042.737172,15473,1719186042,733429336,,True,True,18.388084411621094,4.597021102905273,-0.6342132570045643,-0.4133088390440463,18.383036540631675,-9.85086462175384,1.37101532686086,-3.4369071810702576,0.0,0.0,0.0
1719186042.756562,15474,1719186042,753368242,,True,True,18.50048065185547,4.625120162963867,-0.6285008446102316,-0.3801936803098654,18.37340670096581,-9.802801846421854,1.3766902605158309,-3.4247122344472576,0.0,0.0,0.0
1719186042.777266,15475,1719186042,773561836,,True,True,18.490135192871094,4.622533798217773,-0.6479826817870997,-0.36560170710758033,18.485513467732826,-9.760211392001363,1.3899285308256206,-3.4147482233584343,0.0,0.0,0.0
1719186042.7969513,15476,1719186042,793358815,,True,True,18.47507667541504,4.61876916885376,-0.6476513486602213,-0.35007776790858675,18.475472447974692,-9.72270604976504,1.40005976881799,-3.4049722890750105,0.0,0.0,0.0
1719186042.8169084,15477,1719186042,813384752,,True,True,18.466041564941406,4.616510391235352,-0.6371664529792728,-0.3744973547892789,18.460287508099707,-9.675996605415138,1.4205408267134008,-3.3944189119447565,0.0,0.0,0.0
1719186042.8362603,15478,1719186042,833366992,,True,True,18.43877410888672,4.60969352722168,-0.6639389583759019,-0.3836048016552243,18.450115116756884,-9.631381005513683,1.4398408433995156,-3.3839266272442803,0.0,0.0,0.0
1719186042.8564808,15479,1719186042,853371419,,True,True,18.42717170715332,4.60679292678833,-0.6728933060535347,-0.371669456508153,18.42274284648579,-9.58740890399717,1.4706666780361723,-3.3729792716133504,0.0,0.0,0.0
1719186042.8764646,15480,1719186042,873415794,,True,True,18.458717346191406,4.614679336547852,-0.6772430391389784,-0.38655521299013124,18.41066382214979,-9.54732002009803,1.4999565260487837,-3.3618966366138054,0.0,0.0,0.0
1719186042.8974764,15481,1719186042,893401263,,True,True,18.450613021850586,4.6126532554626465,-0.7064809571191207,-0.3303045796210467,18.442234392908876,-9.500774014065064,1.5165912096917458,-3.351543374017785,0.0,0.0,0.0
1719186042.9166143,15482,1719186042,913385898,,True,True,18.512332916259766,4.628083229064941,-0.7219658833902446,-0.3299991208542992,18.433529247838244,-9.457333672120516,1.5315324863495199,-3.3413552286026276,0.0,0.0,0.0
1719186042.9367805,15483,1719186042,933362825,,True,True,18.50518226623535,4.626295566558838,-0.7309792485671311,-0.27540986999880357,18.495845015124903,-9.394704162661457,1.5217641293445725,-3.3320011137599974,0.0,0.0,0.0
1719186042.9567041,15484,1719186042,953396575,,True,True,18.413667678833008,4.603416919708252,-0.7643322219232676,-0.2288937895516788,18.487972849319885,-9.334829101879976,1.5082870133949198,-3.322768836761318,0.0,0.0,0.0
1719186042.9761882,15485,1719186042,973378711,,True,True,18.405193328857422,4.6012983322143555,-0.7604880239157675,-0.2413766462874377,18.396374273682664,-9.277639736934551,1.5116424071735193,-3.311726901894211,0.0,0.0,0.0
1719186042.9960759,15486,1719186042,993368190,,True,True,18.419971466064453,4.604992866516113,-0.7802910584913244,-0.239946649658273,18.387079564747072,-9.224166022471511,1.5145207466809767,-3.3008555400367374,0.0,0.0,0.0
1719186043.0180836,15487,1719186043,13465221,,True,True,18.41038703918457,4.602596759796143,-0.7986026753267598,-0.255671545639839,18.40087614561502,-9.16806797443712,1.5231115578188081,-3.2902202335493103,0.0,0.0,0.0
1719186043.0363145,15488,1719186043,33360429,,True,True,18.299415588378906,4.574853897094727,-0.7834271974049046,-0.2907475240845222,18.391412564491862,-9.119623295166779,1.5342507359111202,-3.2798082899677152,0.0,0.0,0.0
1719186043.0574408,15489,1719186043,53392252,,True,True,18.28948211669922,4.572370529174805,-0.7876474098600383,-0.28219115065464445,18.280279093603795,-9.062589651616154,1.5379878371985989,-3.26707947307866,0.0,0.0,0.0
1719186043.0775883,15490,1719186043,73501210,,True,True,18.39632225036621,4.599080562591553,-0.7946809765482074,-0.25449263230951286,18.2704367665894,-9.010363640229395,1.538578640880071,-3.2545918638317817,0.0,0.0,0.0
1719186043.0979855,15491,1719186043,93385221,,True,True,18.561805725097656,4.640451431274414,-0.8163664088568701,-0.23522242883257494,18.376695004384832,-8.966951107345903,1.5409822443164265,-3.2449331604110347,0.0,0.0,0.0
1719186043.1171677,15492,1719186043,113636940,,True,True,18.55732536315918,4.639331340789795,-0.8151288949720489,-0.24410735113004273,18.542292651534044,-8.901308069337961,1.552351831968001,-3.2375146684972878,0.0,0.0,0.0
1719186043.136502,15493,1719186043,133388502,,True,True,18.342592239379883,4.585648059844971,-0.8302252598966616,-0.2354897103791611,18.537248995458373,-8.842278097135175,1.5614667298422502,-3.230513924773189,0.0,0.0,0.0
1719186043.1551483,15494,1719186043,153329596,,True,True,18.33359146118164,4.58339786529541,-0.8228478597315451,-0.222709025329195,18.322773589971987,-8.760805678268168,1.5623932606174766,-3.218661773476039,0.0,0.0,0.0
1719186043.1754954,15495,1719186043,173355377,,True,True,18.441844940185547,4.610461235046387,-0.8314497113671736,-0.20244181911076453,18.313609026710463,-8.686283707688789,1.561201620559557,-3.2070283930192143,0.0,0.0,0.0
1719186043.196319,15496,1719186043,193404127,,True,True,18.440292358398438,4.610073089599609,-0.8403017495767439,-0.20068748070932077,18.421597235294932,-8.628134985365222,1.5609501863049615,-3.1983998359165295,0.0,0.0,0.0
1719186043.2157767,15497,1719186043,213365273,,True,True,18.521034240722656,4.630258560180664,-0.8377905085626871,-0.19107652639190645,18.420259536682234,-8.576294558668831,1.5597657169723989,-3.190536651172755,0.0,0.0,0.0
1719186043.2363112,15498,1719186043,233342148,,True,True,18.51795196533203,4.629487991333008,-0.833428246135544,-0.1912407043840636,18.501285306402245,-8.518632549113327,1.5523232920138372,-3.184240910709721,0.0,0.0,0.0
1719186043.2561615,15499,1719186043,253361210,,True,True,18.39845085144043,4.599612712860107,-0.8359985814969013,-0.17455618901327463,18.498248074769382,-8.466363187608106,1.5439400602987197,-3.178258036405352,0.0,0.0,0.0
1719186043.2759073,15500,1719186043,273350637,,True,True,18.39687728881836,4.59921932220459,-0.8206824142627455,-0.17490649484359738,18.379305875285095,-8.407552817926055,1.548194876191142,-3.1695569625140774,0.0,0.0,0.0
1719186043.2959151,15501,1719186043,293494075,,True,True,18.577621459960938,4.644405364990234,-0.8365249722308101,-0.1683262521229793,18.377077246167765,-8.352616933770515,1.5513911971791674,-3.161440736578411,0.0,0.0,0.0
1719186043.3159332,15502,1719186043,313354335,,True,True,18.579730987548828,4.644932746887207,-0.8675788490555782,-0.163946468222682,18.556628411864995,-8.293338367998379,1.5668839047364838,-3.157040677079025,0.0,0.0,0.0
1719186043.3363607,15503,1719186043,333402669,,True,True,18.5726318359375,4.643157958984375,-0.8478839108235232,-0.18464126087787228,18.55945509269442,-8.241414878081601,1.5830447918553163,-3.1533233701252095,0.0,0.0,0.0
1719186043.3568623,15504,1719186043,353369648,,True,True,18.571151733398438,4.642787933349609,-0.8452132761169733,-0.1523068001951977,18.552764053141182,-8.174592921764319,1.5745218335630768,-3.1491046100999345,0.0,0.0,0.0
1719186043.3767495,15505,1719186043,373427460,,True,True,18.55803680419922,4.639509201049805,-0.8606003948480818,-0.0724613524965224,18.551058603492976,-8.112625333129396,1.5588072375428579,-3.1451187157917437,0.0,0.0,0.0
1719186043.3965726,15506,1719186043,393432356,,True,True,18.556734085083008,4.639183521270752,-0.8374654952014998,-0.08904928623103876,18.53891776123113,-8.049547635656007,1.535959994217258,-3.141413735103126,0.0,0.0,0.0
1719186043.4167871,15507,1719186043,413700898,,True,True,18.64783477783203,4.661958694458008,-0.8480716947607366,-0.07624948933460224,18.537187268606168,-7.990956236351212,1.5138298808363058,-3.137860026171957,0.0,0.0,0.0
1719186043.437723,15508,1719186043,433370429,,True,True,18.649499893188477,4.662374973297119,-0.842777407275666,-0.07004655427179382,18.62864851029767,-7.941638494820032,1.5166239989225052,-3.1371154930159766,0.0,0.0,0.0
1719186043.4582531,15509,1719186043,453392096,,True,True,18.631166458129883,4.657791614532471,-0.830494365658299,-0.08147743924188791,18.63082158938215,-7.897604588687354,1.5203327513758114,-3.1366497080746596,0.0,0.0,0.0
1719186043.4775674,15510,1719186043,473350533,,True,True,18.63692855834961,4.659232139587402,-0.8190017531722994,-0.10088621877084222,18.612883747126286,-7.8409474358717,1.5250530751435065,-3.1352792485571808,0.0,0.0,0.0
1719186043.4975522,15511,1719186043,493378658,,True,True,18.525897979736328,4.631474494934082,-0.8186688415111106,-0.082846832182084,18.618753975373146,-7.789799476433477,1.5275107090389677,-3.1346290908644017,0.0,0.0,0.0
1719186043.516325,15512,1719186043,513452252,,True,True,18.702116012573242,4.6755290031433105,-0.8155117552921206,-0.06908534469768267,18.507810986590805,-7.737049801113332,1.5122621690724596,-3.131605998149077,0.0,0.0,0.0
1719186043.5370295,15513,1719186043,533737200,,True,True,18.705585479736328,4.676396369934082,-0.8269646369326727,-0.05145894461653072,18.683753696355083,-7.679126990564542,1.4958501650579032,-3.132765714672545,0.0,0.0,0.0
1719186043.5578403,15514,1719186043,553371992,,True,True,18.64470100402832,4.66117525100708,-0.8231406510316315,-0.03797298823684821,18.687426430653684,-7.629122600483744,1.4802514464012169,-3.134134973849214,0.0,0.0,0.0
1719186043.5761094,15515,1719186043,573383085,,True,True,18.65004539489746,4.662511348724365,-0.8093461660607504,-0.03309910444056455,18.627097531279627,-7.564543043220422,1.4433674968952548,-3.1340949728603773,0.0,0.0,0.0
1719186043.5967784,15516,1719186043,593365846,,True,True,18.604310989379883,4.651077747344971,-0.8033429800428282,-0.04453869827307836,18.632682888521312,-7.507107109093347,1.4113639573139043,-3.1346170794508286,0.0,0.0,0.0
1719186043.6164331,15517,1719186043,613383085,,True,True,18.609477996826172,4.652369499206543,-0.7977249087596749,-0.06029048383316458,18.587103103021374,-7.45643946908698,1.398589230048081,-3.134116093168796,0.0,0.0,0.0
1719186043.636191,15518,1719186043,633356158,,True,True,18.602859497070312,4.650714874267578,-0.8003493055417494,-0.09867304650887639,18.59199674852423,-7.41068147809045,1.3909515303498616,-3.1341549491342304,0.0,0.0,0.0
1719186043.6571815,15519,1719186043,653371367,,True,True,18.6157169342041,4.653929233551025,-0.7801929698967064,-0.12290904244582161,18.586085732578585,-7.363917749322266,1.4123720275512825,-3.134131331744569,0.0,0.0,0.0
1719186043.6774786,15520,1719186043,673359231,,True,True,18.59447479248047,4.648618698120117,-0.7622977909301398,-0.11396944108581049,18.59975392841109,-7.32367987694871,1.430729092227051,-3.1354760971242372,0.0,0.0,0.0
1719186043.69815,15521,1719186043,693395794,,True,True,18.60173797607422,4.650434494018555,-0.7369380224235798,-0.11496083641348273,18.57951015880195,-7.277674301080715,1.4255215698214612,-3.1360290705378278,0.0,0.0,0.0
1719186043.7164745,15522,1719186043,713377460,,True,True,18.59754180908203,4.649385452270508,-0.7258624456983115,-0.09858854052007965,18.58730924310252,-7.2374976558131126,1.419212861326101,-3.1373044757298127,0.0,0.0,0.0
1719186043.7373898,15523,1719186043,733363346,,True,True,18.60479164123535,4.651197910308838,-0.724781387658,-0.07041805270314443,18.58328019079839,-7.192289412843897,1.3928689033916313,-3.1385113917125,0.0,0.0,0.0
1719186043.7567432,15524,1719186043,753461262,,True,True,18.640722274780273,4.660180568695068,-0.7252008758762448,-0.05503646147709398,18.590570289628523,-7.15132856022192,1.3674788791924846,-3.1403363694987494,0.0,0.0,0.0
1719186043.7773924,15525,1719186043,773411054,,True,True,18.644216537475586,4.6610541343688965,-0.7148365246306614,-0.03714475550663332,18.626973789322932,-7.101518064397828,1.351560228532874,-3.142510646018885,0.0,0.0,0.0
