Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,type_mask,orientation.x,orientation.y,orientation.z,orientation.w,body_rate.x,body_rate.y,body_rate.z,thrust
1719185954.05977,36922,1719185954,56667547,,0,0.0023632413111043596,-0.01891273698012075,0.03501261487966548,0.9992051042051949,0.0,0.0,0.0,0.46305006742477417
1719185954.0787673,36923,1719185954,76768640,,0,0.0022135343423207872,-0.01880593172819973,0.03500975518193513,0.9992075631417382,0.0,0.0,0.0,0.46306875348091125
1719185954.0985184,36924,1719185954,96658224,,0,-0.0016477538323516384,-0.016560877711873607,0.034945165453839876,0.999250648059897,0.0,0.0,0.0,0.4626208543777466
1719185954.119485,36925,1719185954,116644005,,0,-0.0017900592068083644,-0.016581839737283135,0.034942750298413046,0.9992501400953346,0.0,0.0,0.0,0.462556391954422
1719185954.1405342,36926,1719185954,136628588,,0,0.0005012798562688179,-0.017190663025751778,0.03497980839762603,0.9992400326386579,0.0,0.0,0.0,0.46297577023506165
1719185954.1585703,36927,1719185954,157042130,,0,0.0032339728377595,-0.01348275077970818,0.035020832990512375,0.9992903972858678,0.0,0.0,0.0,0.462598979473114
1719185954.1789522,36928,1719185954,176682494,,0,0.0030812688008488476,-0.013565094237360504,0.03501889958557108,0.9992898331678974,0.0,0.0,0.0,0.462599515914917
1719185954.1982343,36929,1719185954,196589630,,0,0.0032123800681646045,-0.019958366726192715,0.03502992955142758,0.9991817893894697,0.0,0.0,0.0,0.46248653531074524
1719185954.2192233,36930,1719185954,216623744,,0,0.0030107895692462893,-0.0198537097965556,0.03502579993653448,0.9991846469458434,0.0,0.0,0.0,0.46284160017967224
1719185954.2388933,36931,1719185954,236650828,,0,0.0001927969130573068,-0.020036280057529637,0.03496950782533951,0.9991874918318684,0.0,0.0,0.0,0.46270886063575745
1719185954.2583463,36932,1719185954,256630255,,0,-5.287896659336981e-05,-0.02010752604250277,0.03496444508079841,0.9991862549997657,0.0,0.0,0.0,0.46222031116485596
1719185954.2786312,36933,1719185954,276622546,,0,0.0018132164867474393,-0.01904962414471255,0.03500217723704878,0.999204019034443,0.0,0.0,0.0,0.4631620943546295
1719185954.2984595,36934,1719185954,296754213,,0,0.0013901526417033616,-0.019234562783539806,0.03499400261899934,0.999201440576854,0.0,0.0,0.0,0.46307677030563354
1719185954.3188212,36935,1719185954,316705776,,0,0.0027741988115174104,-0.01687479903649293,0.03501858806838003,0.9992403331872314,0.0,0.0,0.0,0.4631425440311432
1719185954.3409786,36936,1719185954,336676088,,0,0.002429045456826438,-0.017135908028048992,0.03501291607613662,0.9992369869565819,0.0,0.0,0.0,0.4630456566810608
1719185954.3584392,36937,1719185954,356635515,,0,0.0010809231540215383,-0.019697238817113265,0.034987612508834566,0.9991930330817206,0.0,0.0,0.0,0.4621717631816864
1719185954.3788838,36938,1719185954,376807546,,0,0.0007511310592206872,-0.01998595954075251,0.0349807399220321,0.999187842729221,0.0,0.0,0.0,0.461982399225235
1719185954.3989358,36939,1719185954,396649578,,0,-0.0008445583673639159,-0.020308240113118794,0.03494798961074606,0.9991824158414915,0.0,0.0,0.0,0.46059876680374146
1719185954.419434,36940,1719185954,416679994,,0,0.001671473611715305,-0.018136415745511118,0.034999734914712526,0.9992213444256339,0.0,0.0,0.0,0.46280190348625183
1719185954.438587,36941,1719185954,436759213,,0,0.001332527565777637,-0.01875751806443546,0.034993211251881276,0.9992106159627359,0.0,0.0,0.0,0.46256422996520996
1719185954.4597747,36942,1719185954,456696505,,0,0.0031471892087376564,-0.021205509316063343,0.03502984747276377,0.9991563097737839,0.0,0.0,0.0,0.4608207643032074
